2019-03-26 07:16:16,686 INFO  Inside CreateSpListItem constructor to create Client!
2019-03-26 07:16:16,713 INFO  Inside RetrieveQWOptionItems to retrieve QW Option List Items!
2019-03-26 07:16:16,714 INFO  Inside GetDigestValue to Get the DigestValue!
2019-03-26 07:16:16,813 INFO  Inside HasError func!
2019-03-26 07:16:16,994 INFO  Response after SP list items retrieval is not Null!
2019-03-26 07:16:16,995 INFO  Count of Response after SP list items retrieval is - 61
2019-03-26 07:16:16,995 INFO  Index of Response after SP list items retrieval - 0
2019-03-26 07:16:16,995 INFO  Status of Response after SP list items retrieval at index - 0 , is - True
2019-03-26 07:16:16,996 INFO  System of Response after SP list items retrieval at index - 0 , is - Baan
2019-03-26 07:16:16,997 INFO  problem of Response after SP list items retrieval at index - 0 , is - General Baan Access
2019-03-26 07:16:16,997 INFO  resolution of Response after SP list items retrieval at index - 0 , is - Raise ISR
2019-03-26 07:16:16,997 INFO  Index of Response after SP list items retrieval - 1
2019-03-26 07:16:16,998 INFO  Status of Response after SP list items retrieval at index - 1 , is - True
2019-03-26 07:16:16,998 INFO  System of Response after SP list items retrieval at index - 1 , is - Baan
2019-03-26 07:16:16,998 INFO  problem of Response after SP list items retrieval at index - 1 , is - General Baan Error
2019-03-26 07:16:16,999 INFO  resolution of Response after SP list items retrieval at index - 1 , is - Raise IT Ticket
2019-03-26 07:16:16,999 INFO  Index of Response after SP list items retrieval - 2
2019-03-26 07:16:16,999 INFO  Status of Response after SP list items retrieval at index - 2 , is - True
2019-03-26 07:16:17,000 INFO  System of Response after SP list items retrieval at index - 2 , is - Baan
2019-03-26 07:16:17,000 INFO  problem of Response after SP list items retrieval at index - 2 , is - Baan lockout
2019-03-26 07:16:17,000 INFO  resolution of Response after SP list items retrieval at index - 2 , is - Unlock through Active Directory
2019-03-26 07:16:17,001 INFO  Index of Response after SP list items retrieval - 3
2019-03-26 07:16:17,001 INFO  Status of Response after SP list items retrieval at index - 3 , is - True
2019-03-26 07:16:17,001 INFO  System of Response after SP list items retrieval at index - 3 , is - Baan
2019-03-26 07:16:17,001 INFO  problem of Response after SP list items retrieval at index - 3 , is - General Baan Access
2019-03-26 07:16:17,002 INFO  resolution of Response after SP list items retrieval at index - 3 , is - Raise IT Ticket
2019-03-26 07:16:17,002 INFO  Index of Response after SP list items retrieval - 4
2019-03-26 07:16:17,002 INFO  Status of Response after SP list items retrieval at index - 4 , is - True
2019-03-26 07:16:17,002 INFO  System of Response after SP list items retrieval at index - 4 , is - Baan
2019-03-26 07:16:17,003 INFO  problem of Response after SP list items retrieval at index - 4 , is - Baan Account Issue
