2019-03-27 14:07:50,355 INFO  Inside CreateSpListItem constructor to create Client!
2019-03-27 14:07:50,384 INFO  Inside RetrieveQWOptionItems to retrieve QW Option List Items!
2019-03-27 14:07:50,385 INFO  Inside GetDigestValue to Get the DigestValue!
2019-03-27 14:07:50,553 INFO  Inside HasError func!
2019-03-27 14:07:50,782 INFO  Response after SP list items retrieval is not Null!
2019-03-27 14:07:50,783 INFO  Count of Response after SP list items retrieval is - 61
2019-03-27 14:07:50,783 INFO  Index of Response after SP list items retrieval - 0
2019-03-27 14:07:50,783 INFO  Status of Response after SP list items retrieval at index - 0 , is - True
2019-03-27 14:07:50,784 INFO  System of Response after SP list items retrieval at index - 0 , is - Baan
2019-03-27 14:07:50,784 INFO  problem of Response after SP list items retrieval at index - 0 , is - General Baan Access
2019-03-27 14:07:50,785 INFO  resolution of Response after SP list items retrieval at index - 0 , is - Raise ISR
2019-03-27 14:07:50,785 INFO  Index of Response after SP list items retrieval - 1
2019-03-27 14:07:50,785 INFO  Status of Response after SP list items retrieval at index - 1 , is - True
2019-03-27 14:07:50,786 INFO  System of Response after SP list items retrieval at index - 1 , is - Baan
2019-03-27 14:07:50,786 INFO  problem of Response after SP list items retrieval at index - 1 , is - General Baan Error
2019-03-27 14:07:50,787 INFO  resolution of Response after SP list items retrieval at index - 1 , is - Raise IT Ticket
2019-03-27 14:07:50,787 INFO  Index of Response after SP list items retrieval - 2
2019-03-27 14:07:50,788 INFO  Status of Response after SP list items retrieval at index - 2 , is - True
2019-03-27 14:07:50,788 INFO  System of Response after SP list items retrieval at index - 2 , is - Baan
2019-03-27 14:07:50,789 INFO  problem of Response after SP list items retrieval at index - 2 , is - Baan lockout
2019-03-27 14:07:50,789 INFO  resolution of Response after SP list items retrieval at index - 2 , is - Unlock through Active Directory
2019-03-27 14:07:50,789 INFO  Index of Response after SP list items retrieval - 3
2019-03-27 14:07:50,789 INFO  Status of Response after SP list items retrieval at index - 3 , is - True
2019-03-27 14:07:50,790 INFO  System of Response after SP list items retrieval at index - 3 , is - Baan
2019-03-27 14:07:50,790 INFO  problem of Response after SP list items retrieval at index - 3 , is - General Baan Access
2019-03-27 14:07:50,790 INFO  resolution of Response after SP list items retrieval at index - 3 , is - Raise IT Ticket
2019-03-27 14:07:50,790 INFO  Index of Response after SP list items retrieval - 4
2019-03-27 14:07:50,791 INFO  Status of Response after SP list items retrieval at index - 4 , is - True
2019-03-27 14:07:50,791 INFO  System of Response after SP list items retrieval at index - 4 , is - Baan
2019-03-27 14:07:50,791 INFO  problem of Response after SP list items retrieval at index - 4 , is - Baan Account Issue
2019-03-27 14:07:50,792 INFO  resolution of Response after SP list items retrieval at index - 4 , is - Raise IT Ticket
2019-03-27 14:07:50,792 INFO  Index of Response after SP list items retrieval - 5
2019-03-27 14:07:50,792 INFO  Status of Response after SP list items retrieval at index - 5 , is - True
2019-03-27 14:07:50,792 INFO  System of Response after SP list items retrieval at index - 5 , is - PC
2019-03-27 14:07:50,793 INFO  problem of Response after SP list items retrieval at index - 5 , is - Locked Out
2019-03-27 14:07:50,793 INFO  resolution of Response after SP list items retrieval at index - 5 , is - Unlock through Active Directory
2019-03-27 14:07:50,793 INFO  Index of Response after SP list items retrieval - 6
2019-03-27 14:07:50,793 INFO  Status of Response after SP list items retrieval at index - 6 , is - True
2019-03-27 14:07:50,794 INFO  System of Response after SP list items retrieval at index - 6 , is - PC
2019-03-27 14:07:50,794 INFO  problem of Response after SP list items retrieval at index - 6 , is - Locked Out
2019-03-27 14:07:50,794 INFO  resolution of Response after SP list items retrieval at index - 6 , is - Raise IT Ticket
2019-03-27 14:07:50,795 INFO  Index of Response after SP list items retrieval - 7
2019-03-27 14:07:50,795 INFO  Status of Response after SP list items retrieval at index - 7 , is - True
2019-03-27 14:07:50,795 INFO  System of Response after SP list items retrieval at index - 7 , is - PC
2019-03-27 14:07:50,795 INFO  problem of Response after SP list items retrieval at index - 7 , is - System Issues
2019-03-27 14:07:50,796 INFO  resolution of Response after SP list items retrieval at index - 7 , is - Raise IT Ticket
2019-03-27 14:07:50,796 INFO  Index of Response after SP list items retrieval - 8
2019-03-27 14:07:50,796 INFO  Status of Response after SP list items retrieval at index - 8 , is - True
2019-03-27 14:07:50,796 INFO  System of Response after SP list items retrieval at index - 8 , is - PC
2019-03-27 14:07:50,797 INFO  problem of Response after SP list items retrieval at index - 8 , is - Error Message prompt
2019-03-27 14:07:50,797 INFO  resolution of Response after SP list items retrieval at index - 8 , is - Raise IT Ticket
2019-03-27 14:07:50,797 INFO  Index of Response after SP list items retrieval - 9
2019-03-27 14:07:50,797 INFO  Status of Response after SP list items retrieval at index - 9 , is - True
2019-03-27 14:07:50,798 INFO  System of Response after SP list items retrieval at index - 9 , is - Pace tracker
2019-03-27 14:07:50,798 INFO  problem of Response after SP list items retrieval at index - 9 , is - Error for 100 Code
2019-03-27 14:07:50,798 INFO  resolution of Response after SP list items retrieval at index - 9 , is - Clear Data/ Cache
2019-03-27 14:07:50,798 INFO  Index of Response after SP list items retrieval - 10
2019-03-27 14:07:50,799 INFO  Status of Response after SP list items retrieval at index - 10 , is - True
2019-03-27 14:07:50,799 INFO  System of Response after SP list items retrieval at index - 10 , is - Pace tracker
2019-03-27 14:07:50,799 INFO  problem of Response after SP list items retrieval at index - 10 , is - Nothing populates under Timesheet
2019-03-27 14:07:50,799 INFO  resolution of Response after SP list items retrieval at index - 10 , is - Clear Data/ Cache
2019-03-27 14:07:50,800 INFO  Index of Response after SP list items retrieval - 11
2019-03-27 14:07:50,800 INFO  Status of Response after SP list items retrieval at index - 11 , is - True
2019-03-27 14:07:50,800 INFO  System of Response after SP list items retrieval at index - 11 , is - Pace tracker
2019-03-27 14:07:50,800 INFO  problem of Response after SP list items retrieval at index - 11 , is - Not able to register
2019-03-27 14:07:50,801 INFO  resolution of Response after SP list items retrieval at index - 11 , is - Check Employee Records
2019-03-27 14:07:50,801 INFO  Index of Response after SP list items retrieval - 12
2019-03-27 14:07:50,801 INFO  Status of Response after SP list items retrieval at index - 12 , is - True
2019-03-27 14:07:50,801 INFO  System of Response after SP list items retrieval at index - 12 , is - Pace tracker
2019-03-27 14:07:50,802 INFO  problem of Response after SP list items retrieval at index - 12 , is - Not able to register
2019-03-27 14:07:50,802 INFO  resolution of Response after SP list items retrieval at index - 12 , is - Reset Password
2019-03-27 14:07:50,802 INFO  Index of Response after SP list items retrieval - 13
2019-03-27 14:07:50,803 INFO  Status of Response after SP list items retrieval at index - 13 , is - True
2019-03-27 14:07:50,803 INFO  System of Response after SP list items retrieval at index - 13 , is - Email
2019-03-27 14:07:50,804 INFO  problem of Response after SP list items retrieval at index - 13 , is - Unable to log in
2019-03-27 14:07:50,804 INFO  resolution of Response after SP list items retrieval at index - 13 , is - Unlock through Active Directory
2019-03-27 14:07:50,805 INFO  Index of Response after SP list items retrieval - 14
2019-03-27 14:07:50,805 INFO  Status of Response after SP list items retrieval at index - 14 , is - True
2019-03-27 14:07:50,806 INFO  System of Response after SP list items retrieval at index - 14 , is - Email
2019-03-27 14:07:50,806 INFO  problem of Response after SP list items retrieval at index - 14 , is - Email not populating
2019-03-27 14:07:50,806 INFO  resolution of Response after SP list items retrieval at index - 14 , is - Check Knox
2019-03-27 14:07:50,807 INFO  Index of Response after SP list items retrieval - 15
2019-03-27 14:07:50,807 INFO  Status of Response after SP list items retrieval at index - 15 , is - True
2019-03-27 14:07:50,808 INFO  System of Response after SP list items retrieval at index - 15 , is - Email
2019-03-27 14:07:50,808 INFO  problem of Response after SP list items retrieval at index - 15 , is - Cannot send email
2019-03-27 14:07:50,808 INFO  resolution of Response after SP list items retrieval at index - 15 , is - Check Knox
2019-03-27 14:07:50,809 INFO  Index of Response after SP list items retrieval - 16
2019-03-27 14:07:50,809 INFO  Status of Response after SP list items retrieval at index - 16 , is - True
2019-03-27 14:07:50,809 INFO  System of Response after SP list items retrieval at index - 16 , is - Email
2019-03-27 14:07:50,810 INFO  problem of Response after SP list items retrieval at index - 16 , is - Need an Add-On
2019-03-27 14:07:50,810 INFO  resolution of Response after SP list items retrieval at index - 16 , is - Raise IT Ticket
2019-03-27 14:07:50,810 INFO  Index of Response after SP list items retrieval - 17
2019-03-27 14:07:50,810 INFO  Status of Response after SP list items retrieval at index - 17 , is - True
2019-03-27 14:07:50,811 INFO  System of Response after SP list items retrieval at index - 17 , is - Email
2019-03-27 14:07:50,811 INFO  problem of Response after SP list items retrieval at index - 17 , is - Unable to log in
2019-03-27 14:07:50,811 INFO  resolution of Response after SP list items retrieval at index - 17 , is - Raise IT Ticket
2019-03-27 14:07:50,812 INFO  Index of Response after SP list items retrieval - 18
2019-03-27 14:07:50,812 INFO  Status of Response after SP list items retrieval at index - 18 , is - True
2019-03-27 14:07:50,812 INFO  System of Response after SP list items retrieval at index - 18 , is - Email
2019-03-27 14:07:50,812 INFO  problem of Response after SP list items retrieval at index - 18 , is - Email not populating
2019-03-27 14:07:50,813 INFO  resolution of Response after SP list items retrieval at index - 18 , is - Check Duo
2019-03-27 14:07:50,813 INFO  Index of Response after SP list items retrieval - 19
2019-03-27 14:07:50,813 INFO  Status of Response after SP list items retrieval at index - 19 , is - True
2019-03-27 14:07:50,814 INFO  System of Response after SP list items retrieval at index - 19 , is - Email
2019-03-27 14:07:50,814 INFO  problem of Response after SP list items retrieval at index - 19 , is - Cannot send email
2019-03-27 14:07:50,814 INFO  resolution of Response after SP list items retrieval at index - 19 , is - Check Duo
2019-03-27 14:07:50,814 INFO  Index of Response after SP list items retrieval - 20
2019-03-27 14:07:50,815 INFO  Status of Response after SP list items retrieval at index - 20 , is - True
2019-03-27 14:07:50,815 INFO  System of Response after SP list items retrieval at index - 20 , is - Software
2019-03-27 14:07:50,815 INFO  problem of Response after SP list items retrieval at index - 20 , is - Download additional Software
2019-03-27 14:07:50,815 INFO  resolution of Response after SP list items retrieval at index - 20 , is - Raise IT Ticket
2019-03-27 14:07:50,816 INFO  Index of Response after SP list items retrieval - 21
2019-03-27 14:07:50,816 INFO  Status of Response after SP list items retrieval at index - 21 , is - True
2019-03-27 14:07:50,816 INFO  System of Response after SP list items retrieval at index - 21 , is - Software
2019-03-27 14:07:50,816 INFO  problem of Response after SP list items retrieval at index - 21 , is - Software Error
2019-03-27 14:07:50,817 INFO  resolution of Response after SP list items retrieval at index - 21 , is - Raise IT Ticket
2019-03-27 14:07:50,817 INFO  Index of Response after SP list items retrieval - 22
2019-03-27 14:07:50,817 INFO  Status of Response after SP list items retrieval at index - 22 , is - True
2019-03-27 14:07:50,817 INFO  System of Response after SP list items retrieval at index - 22 , is - cERP
2019-03-27 14:07:50,818 INFO  problem of Response after SP list items retrieval at index - 22 , is - Add Permission
2019-03-27 14:07:50,818 INFO  resolution of Response after SP list items retrieval at index - 22 , is - Raise IT Ticket
2019-03-27 14:07:50,818 INFO  Index of Response after SP list items retrieval - 23
2019-03-27 14:07:50,819 INFO  Status of Response after SP list items retrieval at index - 23 , is - True
2019-03-27 14:07:50,819 INFO  System of Response after SP list items retrieval at index - 23 , is - cERP
2019-03-27 14:07:50,819 INFO  problem of Response after SP list items retrieval at index - 23 , is - Permission Error
2019-03-27 14:07:50,820 INFO  resolution of Response after SP list items retrieval at index - 23 , is - Raise IT Ticket
2019-03-27 14:07:50,820 INFO  Index of Response after SP list items retrieval - 24
2019-03-27 14:07:50,821 INFO  Status of Response after SP list items retrieval at index - 24 , is - True
2019-03-27 14:07:50,821 INFO  System of Response after SP list items retrieval at index - 24 , is - cERP
2019-03-27 14:07:50,822 INFO  problem of Response after SP list items retrieval at index - 24 , is - cERP down
2019-03-27 14:07:50,822 INFO  resolution of Response after SP list items retrieval at index - 24 , is - Forward issue to Miles/ Julia
